S265Swp
IMP=ohm,,MAVE=27
MEMO=FE83NV_1M1W_NO.1
DATE=2022/01/12 09:36:38
FREQ , SPL, Imp, Phs, 2nd, 3rd
 6978.31, 86.490, 11.997,-135.600, 33.950, 32.890
 7079.46, 85.580, 12.067,-135.600, 32.330, 33.030
 7182.08, 84.700, 12.136,-137.200, 32.170, 33.000
 7286.18, 84.190, 12.221,-144.000, 33.040, 32.760
 7391.80, 84.240, 12.291,-146.800, 33.360, 32.270
 7498.94, 84.740, 12.376,-153.600, 33.580, 31.670
 7607.64, 85.400, 12.448,-151.800, 34.120, 31.280
 7717.92, 85.780, 12.534,-148.600, 34.240, 31.010
 7829.79, 85.530, 12.621,-141.400, 34.010, 30.520
 7943.28, 84.820, 12.708,-140.000, 34.020, 28.340
 8058.42, 84.380, 12.782,-147.000, 33.770, 22.780
 8175.23, 84.680, 12.870,-150.200, 33.220, 18.230
 8293.73, 85.290, 12.960,-150.400, 33.340, 19.320
 8413.95, 85.590, 13.049,-145.800, 33.950, 22.800
 8535.91, 85.570, 13.140,-144.200, 34.110, 25.910
 8659.64, 85.470, 13.231,-143.800, 33.840, 28.410
 8785.17, 85.400, 13.338,-143.200, 33.480, 29.900
 8912.51, 85.380, 13.430,-142.800, 33.120, 29.110
 9041.70, 85.600, 13.524,-144.400, 33.280, 27.730
 9172.76, 86.010, 13.633,-143.000, 33.650, 29.740
 9305.72, 86.070, 13.727,-136.200, 33.830, 32.290
 9440.61, 85.750, 13.823,-134.800, 34.080, 32.740
 9577.45, 85.770, 13.934,-138.200, 34.140, 32.260
 9716.28, 86.470, 14.031,-138.800, 33.510, 31.330
 9857.12, 87.280, 14.128,-132.600, 32.120, 30.300
10000.00, 87.410, 14.210,-120.600, 29.880, 29.280
10144.95, 86.570, 14.308,-109.200, 26.590, 28.430
10292.01, 85.190, 14.408,-104.800, 23.510, 27.900
10441.19, 84.030, 14.507,-106.800, 23.210, 27.760
10592.54, 83.340, 14.608,-107.400, 25.490, 28.320
10746.08, 82.620, 14.709,-105.200, 27.750, 28.200
10901.84, 81.430, 14.811,-103.000, 28.980, 26.720
11059.87, 80.300, 14.931,-108.200, 29.470, 26.060
11220.18, 79.780, 15.035,-116.200, 29.600, 26.310
11382.82, 79.570, 15.156,-119.800, 29.810, 26.570
11547.82, 79.530, 15.261,-125.000, 30.160, 27.230
11715.21, 79.640, 15.385,-127.000, 30.490, 27.520
11885.02, 79.690, 15.491,-128.800, 29.980, 26.300
